session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Student Status,Current Country of Residence,Sex,First Language,Employment Status,Nationality
5e255047f0b71e7b72ae0cc1,5d3fc2a0bb27940001db4067,APPROVED,2020-01-20 07:01:27.532000,2020-01-20 07:10:54.932000,567.4,22,174,1,100,2020-01-27 06:54:27.928000,675CEBE4,United States,Yes,United States,Male,English,Part-Time,United States
5e255097cf445f7b25a02dfe,5b9a0944e3d0a8000135eb92,APPROVED,2020-01-20 07:02:51.418000,2020-01-20 07:10:09.994000,438.576,30,255,4,99,2020-01-27 06:54:27.630000,675CEBE4,United Kingdom,Yes,United Kingdom,Female,English,Part-Time,United Kingdom
5e2550b31160077afc6716af,595fe60b3d5051000114b80a,APPROVED,2020-01-20 07:03:16.843000,2020-01-20 07:07:18.416000,241.573,23,338,5,99,2020-01-27 06:54:26.767000,675CEBE4,United Kingdom,No,United Kingdom,Female,English,Other,United Kingdom
5e2550d9d911317a37c9330c,5c35663a24643200010e7e15,APPROVED,2020-01-20 07:03:53.534000,2020-01-20 07:08:04.079000,250.545,25,291,0,100,2020-01-27 06:54:26.272000,675CEBE4,Switzerland,Yes,United States,Male,English,Full-Time,United States
5e255121d84c1b7aa329a27b,5bd869bf92162c00019c1a54,APPROVED,2020-01-20 07:05:09.716000,2020-01-20 07:19:19.241000,849.525,20,375,1,100,2020-01-27 06:54:25.799000,675CEBE4,United States,No,United States,Male,English,Unemployed (and job seeking),United States
5e2551305427917affe908d8,5c78de2e8a34620011341ef5,APPROVED,2020-01-20 07:05:28.194000,2020-01-20 07:12:16.671000,408.477,18,157,0,100,2020-01-27 06:54:25.225000,675CEBE4,United States,Yes,United States,Male,English,Unemployed (and job seeking),United States
5e255189346cdd7b74dad606,5c29ff4a5990bc00017d82b3,APPROVED,2020-01-20 07:06:58.331000,2020-01-20 07:12:45.941000,347.61,,160,3,99,2020-01-27 06:54:24.554000,675CEBE4,United Kingdom,No,United Kingdom,Male,English,Full-Time,United Kingdom
5e25520c727e047afc10b4bb,58ff68a15b40770001f298d8,APPROVED,2020-01-20 07:09:03.074000,2020-01-20 07:14:27.060000,323.986,39,705,4,100,2020-01-27 06:54:21.594000,675CEBE4,United Kingdom,No,United Kingdom,Female,English,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom
5e25520d51ff467b79950764,5c953449e4d1d200172f23f6,APPROVED,2020-01-20 07:09:03.181000,2020-01-20 07:14:38.682000,335.501,19,123,0,100,2020-01-27 06:54:20.667000,675CEBE4,United Kingdom,Yes,United Kingdom,Female,English,Part-Time,United Kingdom
5e255213fa970c795b6b18b2,5a384471e7bc8000010a8df2,APPROVED,2020-01-20 07:09:34.111000,2020-01-20 07:18:25.534000,531.423,37,332,4,99,2020-01-27 06:54:19.980000,675CEBE4,United Kingdom,No,United Kingdom,Female,English,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom
